Name,Unit,Expression,Value,Comments,Favorite
Servo_Base_Lenght,mm,22.9 mm,22.90,,false
Servo_Base_Width,mm,12.6 mm,12.60,,false
Servo_Fix_Plate_Lenght,mm,34 mm,34.00,,false
Servo_Fix_Plate_Hole_Distance,mm,27.50 mm,27.50,,false
Servo_Min_Hole_Axis_Distance,mm,8.60 mm,8.60,,false
Servo_Height_to_Fix_Plate,mm,15.7 mm,15.70,,false
Servo_Fix_Plate_Height,mm,2.5 mm,2.50,,false
Servo_Axis_Diameter,mm,4.6 mm,4.60,,false
Servo_Axis_Height,mm,2.5 mm,2.50,,false
Servo_Fix_Plate_Hole_Diameter,mm,2 mm,2.00,,false
Servo_Fix_Plate_Gear_Offset,mm,3.8 mm,3.80,,false
Servo_Axis_Base_Offset,mm,4 mm,4.00,,false
SR_Base_Height,mm,4 mm,4.00,,false
SR_Base_Width,mm,40 mm,40.00,,false
SR_Base_Lenght,mm,43 mm,43.00,,false
SR_Side_Wall_Height,mm,30 mm,30.00,,false
SR_Side_Wall_Width,mm,4.5 mm,4.50,,false
SR_Base_Rotation_Diameter,mm,15 mm,15.00,,false
SR_Base_Rotation_Depht,mm,2 mm,2.00,,false
SR_Base_Rotation_Axis_Diameter,mm,4 mm,4.00,,false
SR_Base_Rotation_Axis_Height,mm,3 mm,3.00,,false
Servo_Horn_Main_Diameter,mm,7.4 mm,7.40,,false
Servo_Horn_Coner_Diameter,mm,4 mm,4.00,,false
Servo_Horn_Hole_Fix_Distance,mm,28 mm,28.00,,false
Servo_Horn_Hole_Fix_Diameter,mm,2 mm,2.00,,false
Servo_Horn_Main_Hole_Diameter,mm,4 mm,4.00,,false
Servo_Horn_Depht,mm,2.5 mm,2.50,,false
Servo_Horn_Lenght,mm,36 mm,36.00,,false
FDM_3D_Printer_Gap,mm,0.15 mm,0.15,,false
Grip_Gear_Pitch_Diameter,mm,20 mm,20.00,,false
Grip_Screw_Diameter,mm,3 mm,3.00,,false
Servo_Axis_to_Body_Min_Distance,mm,5.9 mm,5.90,,false
Servo_Fix_Plate_to_Axis_Height,mm,8.4 mm,8.40,,false
